d,d,d,d,s,d,d,d,d,d,d,r,r,r,r,r,r,r,r,r
d,d,d,d,s,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
d,d,d,d,s,d,d,r,r,r,r,r,d,d,r,d,d,r,d,d
d,d,d,d,s,d,d,d,d,1,1,e,r,d,d,d,r,d,d,d
d,d,d,d,s,d,d,d,d,d,d,e,e,d,e,r,d,d,d,d
d,d,d,d,v,d,d,e,e,e,e,e,r,1,s,d,d,d,d,d
d,d,d,d,r,r,r,d,d,d,d,d,r,r,s,d,d,d,1,r
d,d,d,r,r,1,r,r,d,d,d,d,d,d,s,d,d,1,1,r
d,d,r,d,d,1,d,d,1,d,d,d,d,d,s,d,r,r,d,r
e,d,d,d,d,2,d,d,r,r,d,d,d,d,s,d,r,r,d,t
s,r,d,d,d,1,1,d,d,r,r,d,d,1,s,d,r,r,r,r
s,d,r,r,1,1,r,d,d,d,r,d,d,d,s,d,r,r,*,r
s,d,d,r,r,r,r,r,d,d,d,d,d,d,s,d,d,r,r,r
v,d,d,d,d,r,d,d,d,d,d,d,d,d,s,d,d,d,d,r
r,d,d,d,d,d,d,d,d,r,d,d,d,r,v,e,d,d,d,d
r,r,d,d,d,d,r,r,r,d,d,d,r,r,r,s,1,d,d,d
r,r,r,d,d,d,r,2,r,d,1,d,r,1,r,s,r,d,d,d
d,d,r,r,d,e,<,<,<,],e,d,d,1,d,v,r,d,d,e
d,d,d,d,d,r,d,d,d,d,s,d,r,r,r,r,r,r,d,s
d,d,d,d,r,d,d,d,d,d,s,d,d,d,d,d,d,d,d,s
d,d,r,d,d,d,d,d,d,1,s,d,d,d,d,d,d,d,r,s
r,d,d,d,d,d,2,d,d,d,s,d,d,d,d,d,d,r,r,s
d,d,d,d,d,d,!,d,d,d,v,d,d,d,d,d,d,d,d,s
d,d,d,r,r,r,!,r,1,r,r,r,r,1,r,d,d,d,d,s
d,e,r,r,r,r,!,r,r,r,r,t,2,1,r,2,r,r,r,s
r,s,d,d,d,r,r,r,r,r,r,e,r,r,r,!,!,!,r,s
r,s,d,d,d,e,e,e,r,d,d,e,d,d,r,r,r,r,r,s
r,s,d,d,d,e,e,e,r,r,d,e,d,d,2,2,r,r,r,v
2,s,d,d,d,e,e,e,d,d,d,e,d,d,r,r,r,r,r,5
d,s,d,d,d,e,e,e,d,d,d,d,d,d,!,d,d,!,e,e
e,s,e,d,d,e,!,e,d,!,!,d,d,d,!,d,d,e,e,r
e,s,e,d,d,e,!,d,d,r,d,d,r,d,r,d,r,e,e,r
e,s,e,d,d,e,r,d,r,e,e,r,r,e,e,r,r,e,e,r
d,s,d,d,r,e,e,r,d,e,e,r,r,e,e,r,r,e,e,r
d,s,d,r,d,e,e,r,r,d,r,r,d,e,e,r,r,e,e,r
d,s,d,r,d,d,r,r,d,e,d,r,d,d,r,r,r,e,e,r
d,s,d,r,r,e,!,r,r,e,!,r,r,e,!,r,e,e,e,r
t,v,d,d,2,r,d,d,3,r,d,d,4,r,e,e,e,e,t,r
r,d,d,d,d,r,d,d,d,r,d,d,d,r,d,d,d,d,r,r
d,1,1,e,e,e,d,d,d,2,e,d,d,r,d,r,r,e,d,r
d,d,d,e,e,s,r,d,2,r,d,2,r,2,d,r,d,e,d,r
